data,godzina,temp,wilgotnosc_wzgledna,PM1,PM2.5,PM10,szerokosc,latitude,dlugosc,longitude,szerokosc_stopnie,dlugosc_stopnie
170917,164052,14.3,82.6,0.75,0.25,3.25,5558.8732,N,310.7287,W,55.98122,-3.178811667
170917,164239,14.13,82.93,1.75,1.5,3.5,5558.8694,N,310.7281,W,55.98115667,-3.178801667
170917,164318,14.2,83,0.5,0,5.5,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,164357,14.13,83.13,1.25,2,5.5,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,164436,14.1,83.3,0.5,0.25,3.25,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,164515,14.08,83.35,0.5,0,3.5,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,164554,14.13,83.33,1.25,2,6.5,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,164633,14.18,83.25,2.5,2,4,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,164712,14.15,83.2,2,1.25,5,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,164751,14.18,83.28,0.25,0.25,3.75,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,164830,14.15,83.5,1.5,0.5,2,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,164909,14.13,83.55,0.5,0.5,2.75,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,164948,14.1,83.68,0.25,1,4,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,165026,14.15,83.78,2,2,5.75,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,165105,14.15,83.7,0.75,0.25,5.75,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,165144,14.15,83.78,2.25,2.25,3.75,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,165223,14.18,83.7,2.25,2.5,10.25,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,165301,14.15,83.53,0.75,0.25,4.75,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,165340,14.2,83.35,0,0,4.25,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,165419,14.18,83.38,0,0,2,5558.8698,N,310.7267,W,55.98116333,-3.178778333
170917,174157,13.63,84.13,0.75,0.75,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,174236,13.58,84.1,1.25,0.75,2,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,174314,13.63,84.1,0.5,0.25,5.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,174353,13.6,84.03,0.5,0,2,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,174432,13.63,84.05,1,1,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,174510,13.65,84.03,1.5,2.25,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,174510,13.6,84.2,0.75,1,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,174625,13.63,84.05,1,1.5,2.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,174709,13.6,84.05,0.25,0.5,2.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,174749,13.6,84.18,0.25,0.5,2,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,174826,13.6,84.15,1.5,1.75,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,174906,13.68,84.08,0.25,0.5,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,174944,13.63,83.95,2,2.5,3.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175022,13.65,84.07,1,1,1.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175106,13.67,84.13,1,1.75,3.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175145,13.68,84.1,0.5,0.25,3.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175224,13.67,84.05,0.75,0.75,4.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175302,13.65,83.93,1.5,3,4,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175335,13.68,84.05,1.75,1.25,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175335,13.65,84.08,0.75,0.75,4.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175547,13.68,83.95,0.5,1,2,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175628,13.68,83.75,1.25,1,9.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175704,13.7,83.93,1,0.25,1.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175704,13.65,83.7,0.75,0.5,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175823,13.65,83.75,0.25,0,2.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175902,13.67,83.75,1,0.5,1.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,175941,13.73,83.68,0.5,0,2.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180020,13.68,83.73,0.75,0.25,0.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180101,13.68,83.85,0,0,5.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180140,13.7,83.8,0.75,1.5,3.5,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180140,13.7,83.6,0.75,0.5,5.25,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180140,13.75,83.63,0.75,1,2.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180337,13.7,83.7,0.75,0.25,1,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180416,13.7,83.73,0.25,0,3.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180455,13.7,83.78,0.75,2.5,5.75,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180533,13.68,83.93,0.75,1.25,4,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180612,13.67,84.13,1.25,1.5,6,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180650,13.7,84.23,0.5,1.5,4,5558.8769,N,310.7331,W,55.98128167,-3.178885
170917,180730,13.68,84.3,0.25,0.75,3,5558.8769,N,310.7331,W,55.98128167,-3.178885
